chunk_id,doc_id,country,region,doc_type,pub_year,original_language,source_language_match,policy_topic_id
USA_National_AI_RD_Strategic_Plan_2023_chunk_44,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,2
USA_National_AI_RD_Strategic_Plan_2023_chunk_45,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,8
USA_National_AI_RD_Strategic_Plan_2023_chunk_46,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,8
USA_National_AI_RD_Strategic_Plan_2023_chunk_47,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_48,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,8
USA_National_AI_RD_Strategic_Plan_2023_chunk_49,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_50,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_51,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,9
USA_National_AI_RD_Strategic_Plan_2023_chunk_52,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,3
USA_National_AI_RD_Strategic_Plan_2023_chunk_53,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_54,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_55,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_56,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,8
USA_NIST_AI_RMF_1_0_2023_chunk_0,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_NIST_AI_RMF_1_0_2023_chunk_1,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_NIST_AI_RMF_1_0_2023_chunk_2,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_NIST_AI_RMF_1_0_2023_chunk_3,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_4,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_5,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_6,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_NIST_AI_RMF_1_0_2023_chunk_7,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_NIST_AI_RMF_1_0_2023_chunk_8,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_9,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_NIST_AI_RMF_1_0_2023_chunk_10,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_11,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_NIST_AI_RMF_1_0_2023_chunk_12,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_13,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_14,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_15,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_16,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_17,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_NIST_AI_RMF_1_0_2023_chunk_18,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_19,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_NIST_AI_RMF_1_0_2023_chunk_20,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
