chunk_id,doc_id,country,region,doc_name,doc_type,year,topic_id,topic_words
USA_National_AI_RD_Strategic_Plan_2023_chunk_32,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_0,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_1,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_2,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_3,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_4,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_5,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_6,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_7,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_8,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
USA_NIST_AI_RMF_1_0_2023_chunk_9,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_10,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_11,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_12,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
USA_NIST_AI_RMF_1_0_2023_chunk_13,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_14,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_NIST_AI_RMF_1_0_2023_chunk_15,USA_NIST_AI_RMF_1_0_2023,United States,North America,AI Risk Management Framework 1.0,Framework,2023,-1,
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_0,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_1,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,-1,
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_2,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,-1,
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_3,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,-1,
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_4,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,-1,
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_5,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,-1,
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_6,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,-1,
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_7,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,-1,
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_8,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,-1,
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_9,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,-1,
